employee_id,amount,from_date,to_date
280098,68204,1997-11-28,1998-11-28
477822,102832,2001-06-05,2002-06-05
261775,64398,1997-04-23,1998-04-23
71406,44414,1997-10-19,1998-10-19
69916,59045,1994-06-28,1995-06-28
297556,50536,1993-03-13,1994-03-13
431860,62320,1999-02-25,2000-02-25
242890,73145,2000-02-05,2001-02-04
407308,40000,1996-02-23,1997-02-22
481344,76726,2002-07-16,9999-01-01
248433,49346,1996-12-30,1997-12-30
19881,47618,1990-04-09,1991-04-09
82464,88301,2002-06-24,9999-01-01
62808,75009,2002-04-19,9999-01-01
457402,51653,1990-05-17,1991-05-17
442998,79992,1999-10-20,2000-03-20
496387,64837,2000-04-06,2001-04-06
266008,76786,2002-05-06,9999-01-01
216660,70283,1985-03-16,1986-03-16
49116,71064,2001-05-02,2002-05-02
407032,54888,1998-11-04,1999-11-04
206125,69544,2002-07-11,9999-01-01
253150,50652,2000-07-10,2001-07-10
499899,100291,1999-07-11,2000-07-10
298375,57601,1999-01-16,2000-01-16
488399,50395,2001-07-02,2002-07-02
239501,72924,1993-04-09,1994-04-09
400116,43876,2001-09-08,9999-01-01
102581,66332,1995-09-16,1996-09-15
275329,74232,1992-06-30,1993-06-30
289351,45592,1994-03-05,1995-03-05
236013,46473,1996-09-20,1997-09-20
55885,51320,1998-12-01,1999-12-01
23391,52850,1995-07-19,1996-07-18
279740,68525,1998-04-06,1999-04-06
446268,54130,1989-02-12,1990-02-12
47365,68308,2002-02-24,9999-01-01
107201,83455,1997-10-08,1998-10-08
44552,70974,2000-06-18,2001-06-18
228207,40000,1993-02-24,1994-02-24
212883,62732,1995-10-29,1996-10-28
488716,44050,1994-01-25,1995-01-25
467659,61724,1997-07-02,1998-07-02
231115,61258,1999-11-26,2000-11-25
441016,103225,2002-04-18,9999-01-01
68496,41689,1994-01-21,1995-01-21
225220,58402,1997-07-11,1998-07-11
491824,52699,1995-01-15,1996-01-15
46851,57800,2000-09-12,2001-09-12
94193,63265,2000-01-07,2001-01-06
462262,59688,1992-12-09,1993-12-09
471480,51294,1994-06-08,1995-06-08
73821,52474,2000-03-11,2001-03-11
39242,58079,1999-07-11,2000-07-10
48289,69941,2000-12-22,2001-12-22
16066,109820,2000-09-12,2001-09-12
45315,44137,1998-04-21,1999-04-21
478962,40441,1992-04-13,1993-04-13
18648,43198,1990-05-12,1991-05-12
483928,64716,2001-12-15,9999-01-01
61677,60298,1997-10-13,1998-10-13
239307,43752,1999-06-21,2000-06-20
64172,54441,1994-05-23,1995-05-23
81402,101695,2002-07-10,9999-01-01
403832,84729,1987-08-12,1988-08-11
57426,58508,1996-02-09,1997-02-08
66637,100603,2000-08-10,2001-08-10
235287,51787,1993-07-14,1994-07-14
423427,51188,1991-10-20,1992-10-19
412632,65990,1987-06-12,1988-06-11
61208,52631,1992-02-13,1993-02-12
480651,102132,2001-01-10,2002-01-10
450414,49479,1999-05-02,2000-05-01
490174,40000,1997-08-20,1998-08-20
15282,55089,1998-01-24,1999-01-24
423297,52352,1991-09-20,1992-09-19
407432,47818,1990-08-11,1991-08-11
461947,60653,1993-07-12,1994-07-12
235734,53129,1991-12-19,1992-12-18
407787,93364,2000-10-22,2001-10-22
75286,48732,1989-07-22,1990-07-22
432615,48500,1995-06-10,1996-06-09
263524,73645,1994-09-10,1995-09-10
401723,46275,1993-05-19,1994-05-19
223182,53116,1996-05-31,1997-05-31
39711,53717,1999-11-28,2000-11-27
226098,70315,1994-06-07,1995-06-07
418433,52352,1991-08-24,1992-08-23
279520,70382,2001-11-26,9999-01-01
222062,69151,2001-06-11,2002-06-11
38844,79296,1997-01-29,1998-01-29
278146,62378,1999-11-01,2000-10-31
473213,100814,2001-11-09,9999-01-01
407589,60308,1996-08-23,1997-08-23
214405,60683,1986-04-21,1986-08-10
258611,84602,1992-07-22,1993-07-22
235917,40777,1998-03-26,1999-03-26
240395,46112,1999-10-06,2000-10-05
16129,97615,1993-02-13,1994-02-13
45745,46124,1991-12-14,1992-12-13
224609,57401,1997-09-11,1998-09-11
63670,53096,1989-09-21,1990-09-21
235332,64472,1999-02-26,2000-02-26
26118,60907,1995-12-07,1996-12-06
59814,51277,2001-10-28,9999-01-01
67068,82621,1997-01-29,1998-01-29
460084,46355,2000-10-30,2001-10-30
213812,83622,1999-11-02,2000-11-01
295634,68597,1989-02-08,1990-02-08
297548,56235,1995-10-26,1996-10-25
221255,80028,1998-02-01,1999-02-01
17988,71401,2000-11-27,2001-11-27
420954,44035,1998-09-27,1999-01-12
19126,39998,1986-05-24,1987-05-24
13833,75879,1995-09-21,1996-09-20
457763,78355,1995-11-05,1996-11-04
32583,59385,1988-07-28,1988-07-30
281244,51863,2002-05-24,9999-01-01
97010,44386,2001-01-23,2002-01-23
