employee_id,amount,from_date,to_date
285960,44561,1991-09-01,1992-08-31
473191,88502,2000-12-22,2001-12-22
278586,69367,2002-05-18,9999-01-01
97266,65918,1993-04-15,1994-04-15
262167,68464,2001-03-27,2002-03-27
474326,68169,1994-02-16,1995-02-16
488381,66973,1999-06-07,2000-06-06
488638,80205,2002-02-02,9999-01-01
50216,87109,2001-05-06,2002-05-06
101374,85473,2001-03-31,2002-03-31
279536,70239,1997-06-05,1998-06-05
59533,59242,1997-10-07,1998-10-07
261517,65951,1996-05-04,1997-05-04
74111,49804,1995-10-15,1996-10-14
473070,58683,1999-05-11,2000-05-10
477698,55825,1999-04-24,2000-04-23
13423,73085,1998-03-17,1999-03-17
14672,59367,1999-07-21,2000-07-20
290627,71862,2000-04-05,2001-04-05
274666,72446,1992-04-26,1993-04-26
410234,48148,1993-07-29,1993-10-30
297821,64589,1992-06-30,1993-06-30
284642,47933,1995-12-20,1996-12-19
242022,62556,1989-07-15,1990-07-15
293241,77918,1996-10-10,1997-10-10
269865,50369,1988-12-13,1989-12-13
262282,64014,2001-10-02,9999-01-01
434343,43881,1996-01-02,1997-01-01
445233,49298,1994-12-19,1995-12-19
66885,60783,2001-08-22,9999-01-01
101706,54293,1998-03-21,1999-03-21
224513,67524,2002-02-09,9999-01-01
259942,67178,1998-11-03,1999-11-03
481038,51131,1994-08-02,1995-08-02
98328,59623,2000-12-15,2001-12-15
435832,48312,1990-01-05,1991-01-05
228920,53870,1990-09-21,1991-09-21
48797,77123,1999-06-29,2000-06-28
407686,87412,1997-06-05,1998-06-05
449836,93175,1999-04-14,2000-04-13
492269,45378,1985-08-19,1986-08-19
412542,49045,1995-08-02,1996-08-01
408482,54810,1996-11-23,1997-11-23
262184,69105,1994-06-27,1995-06-27
474620,66990,1987-06-06,1988-06-05
200171,51678,1992-08-27,1993-08-27
292565,67292,1999-03-22,2000-03-21
106908,83744,2002-07-14,9999-01-01
408842,40000,1989-01-07,1990-01-07
201426,43948,1991-10-29,1992-10-28
213070,62693,2000-09-02,2001-09-02
56396,60886,1997-05-30,1998-05-30
99311,40775,1993-06-06,1994-06-06
92464,87601,2001-05-14,2002-05-14
292004,55842,1992-07-22,1993-07-22
204261,62989,1999-12-22,2000-12-21
288909,66989,1999-09-09,2000-09-08
39546,41481,1993-07-31,1994-07-31
67119,43713,1996-03-28,1997-03-28
19017,83956,2002-02-19,9999-01-01
297947,55967,1998-08-25,1999-08-25
416510,42686,1998-02-19,1999-02-19
293419,67667,1993-01-29,1994-01-29
25538,63989,1997-06-11,1998-06-11
428132,59696,1996-02-04,1997-02-03
13887,62153,1990-06-17,1991-06-17
409761,82826,1999-03-04,2000-03-03
241533,58549,1988-11-25,1989-11-25
272838,46508,1998-10-05,1999-10-05
296701,64150,1991-01-11,1992-01-11
449710,63148,1992-06-20,1993-06-20
264887,76111,2002-03-19,9999-01-01
457071,63013,1991-05-02,1992-05-01
201248,47105,1994-02-12,1995-02-12
273459,62669,1996-12-26,1997-12-26
47966,61568,1996-11-22,1997-11-22
219818,64611,2001-04-14,2002-04-14
492120,76100,2001-03-03,2002-03-03
295516,46899,1991-08-31,1992-08-30
403100,47782,2000-06-11,2000-09-29
75442,44301,1995-07-25,1996-07-24
73983,44382,1998-07-09,1999-07-09
493680,84831,1992-04-22,1993-04-22
495234,118993,2002-06-07,9999-01-01
263528,56061,1993-10-13,1994-10-13
246137,68593,1988-02-10,1989-02-09
452289,67710,1995-08-15,1996-08-14
214388,84852,1994-01-19,1995-01-19
46057,58115,2001-06-10,2002-06-10
434825,71174,2000-03-30,2001-03-30
242135,69530,1999-08-24,2000-08-23
226560,63192,1996-10-13,1997-10-13
62793,75238,1996-04-17,1997-04-17
414095,48986,1994-06-15,1995-06-15
